Name,Wait Time,Delivery Fee,Link
Total Wine & More (5170 Stevens Creek Blvd.),70 - 80 mins,3.49,https://postmates.com/store/total-wine-%26-more-5170-stevens-creek-blvd/GFqD9VllWzmb1oMRFu58Gg
xian kitchen,40 - 50 mins,3.99,https://postmates.com/store/xian-kitchen/1vc47DD9XXmOzes1qpgjQA
See's Candies (Sunnyvale VS),40 - 50 mins,4.99,https://postmates.com/store/sees-candies-sunnyvale-vs/kt4AqFx7XK69Co3GBo3ROw
Biscolata (949 Ruff Drive),35 - 45 mins,6.99,https://postmates.com/store/biscolata-949-ruff-drive/RarMsYxbU3ahgB1s1VHTQA
Origin of Cheesecakes - Santa Clara,40 - 50 mins,3.99,https://postmates.com/store/origin-of-cheesecakes-santa-clara/ZqwJxXf8T8OOrefMGESnUw
Wings Out (Milpitas),50 - 60 mins,12.99,https://postmates.com/store/wings-out-milpitas/L_rP_EeeUqSgaFliLg0Uig
Papa John's (1737b Berryessa Rd),50 - 60 mins,12.99,https://postmates.com/store/papa-johns-1737b-berryessa-rd/JmrIReHzTcWYvFd0VhxrCg
La Veracruzana Restaurant,45 - 55 mins,4.99,https://postmates.com/store/la-veracruzana-restaurant/O0DDz0kvXkaxpyaoosrXMA
Haidilao Hot Pot,30 - 40 mins,2.99,https://postmates.com/store/haidilao-hot-pot/FRazC6MySTCYtVyS3pjHKw
CAMPBELL LIQUORS & DELI,25 - 35 mins,6.49,https://postmates.com/store/campbell-liquors-%26-deli/ChhX0kSxT-eeb4nBYBq9nQ
Cold Stone Creamery (757 E El Camino Real Ste D),25 - 35 mins,3.99,https://postmates.com/store/cold-stone-creamery-757-e-el-camino-real-ste-d/0vr0jJ49RMa8v9YrblWAAw
Nox Cookie Bar,30 - 40 mins,8.99,https://postmates.com/store/nox-cookie-bar/FuD1kPSYSS-PIMQgjsnqzw
Starbucks (El Camino & Grant),20 - 30 mins,5.99,https://postmates.com/store/starbucks-el-camino-%26-grant/tzjoFTSeQ5Oys5X4dyBhOw
White Elephant Thai Cuisine,35 - 45 mins,4.99,https://postmates.com/store/white-elephant-thai-cuisine/e4RSnBftTBCCRBLtSTGlkg
Amber India Restaurant - Santana Row,35 - 45 mins,4.99,https://postmates.com/store/amber-india-restaurant-santana-row/s0tnaL8DTYabU-43EbS47A
Mendocino Farms - Santana Row,25 - 35 mins,4.99,https://postmates.com/store/mendocino-farms-santana-row/Uc1EKAwiROGKOfTvOAAOVQ
Philz Coffee (DeAnza - Cupertino),30 - 40 mins,3.99,https://postmates.com/store/philz-coffee-deanza-cupertino/cYC7kjGdQvSimNDhyxD4-Q
Tender Greens (2532 Augustine Dr),50 - 60 mins,3.99,https://postmates.com/store/tender-greens-2532-augustine-dr/hlTKt7e2RW-vXgIVV_LqOA
Vons Chicken Cupertino,35 - 45 mins,3.99,https://postmates.com/store/vons-chicken-cupertino/w5Z1-0c2RZuYmSsEZ5dWyQ
Sankranti,30 - 40 mins,3.99,https://postmates.com/store/sankranti/NPTp7chHS0WkdQ5kjsDrRg
Vegan Bowl Factory,45 - 55 mins,4.99,https://postmates.com/store/vegan-bowl-factory/W1d5X4EHQFuytn3Ry_kteQ
Tick-Tock Tikka House,40 - 50 mins,4.99,https://postmates.com/store/tick-tock-tikka-house/-X4vZv6gTn6H1dvvdvaaWw
Shanghai No. 1,40 - 50 mins,2.99,https://postmates.com/store/shanghai-no-1/W7TdPUh8S8G9cacu8csHnQ
Chaat Junction,40 - 50 mins,3.99,https://postmates.com/store/chaat-junction/IT3qAM8IQdaK3cOkPOfb8Q
Shake Shack (2855 Stevens Creek Boulevard),30 - 40 mins,5.99,https://postmates.com/store/shake-shack-2855-stevens-creek-boulevard/CZAkuYkYQPKShCcuuSXr7g
Din Tai Fung (Santa Clara),55 - 65 mins,2.99,https://postmates.com/store/din-tai-fung-santa-clara/Vh5Tms5vQMGXd5xsc4SHxw
sweetgreen (Sunnyvale),35 - 45 mins,4.99,https://postmates.com/store/sweetgreen-sunnyvale/VYSBCFosQ7a8XzXNGQfV_g
Bonchon Chicken (572 E El Camino Real),35 - 45 mins,2.99,https://postmates.com/store/bonchon-chicken-572-e-el-camino-real/-e7v3uJ_Tf-b9oBlzqnMvQ
"The Halal Guys -Sunnyvale, CA",30 - 40 mins,4.99,https://postmates.com/store/the-halal-guys-sunnyvale-ca/W47iPoJDSs6S_Kdnl5plsg
Saravana Bhavan,40 - 50 mins,3.99,https://postmates.com/store/saravana-bhavan/Zn5s2fhGS-yK92rUL6QmAQ
McDonald's® (Stelling Rd),15 - 25 mins,4.99,https://postmates.com/store/mcdonalds-stelling-rd/WJqx-hPSSRmEjzQXz8sf1g
Panda Express (5180 Stevens Creek Rd),20 - 30 mins,3.99,https://postmates.com/store/panda-express-5180-stevens-creek-rd/8w0khEaeSkqUXRaYCl2ihg
The Habit Burger Grill (20735 Stevens Creek Blvd),20 - 30 mins,3.99,https://postmates.com/store/the-habit-burger-grill-20735-stevens-creek-blvd/UWcgfS6xTMmHeu8AthRC2A
Subway (19110 Stevens Creek Blvd),20 - 30 mins,2.99,https://postmates.com/store/subway-19110-stevens-creek-blvd/qIkRAcptRECf5WdDeXb9GQ
KoJa Kitchen - Cupertino,20 - 30 mins,2.99,https://postmates.com/store/koja-kitchen-cupertino/SQaCoi_CRbSn4Sn5jOqhdg
Yoshinoya (Cupertino),20 - 30 mins,3.99,https://postmates.com/store/yoshinoya-cupertino/3wWeT3BcShaib7Zwqcnmcw
L&L Hawaiian BBQ (3580 Homestead Rd),20 - 30 mins,2.99,https://postmates.com/store/l%26l-hawaiian-bbq-3580-homestead-rd/nWZ-HJv3SPeZDQr4QneLpw
Starbucks (Homestead & DeAnza),20 - 30 mins,2.99,https://postmates.com/store/starbucks-homestead-%26-deanza/vNCKEjHeR3WK00kSyzv2-A
Carl's Jr. (1051 E El Camino Real),20 - 30 mins,3.99,https://postmates.com/store/carls-jr-1051-e-el-camino-real/QD-iWFmgSxGJISt_cs4Dqw
IHOP (1012 Miller Ave),35 - 45 mins,3.99,https://postmates.com/store/ihop-1012-miller-ave/GH0FHlE7SX6I6DhBI_r6HA
Jamba Juice - Sunnyvale,30 - 40 mins,3.99,https://postmates.com/store/jamba-juice-sunnyvale/0U38FtiHRtGoNzDtNLtXrQ
Popeyes (1551 Saratoga Ave),25 - 35 mins,4.99,https://postmates.com/store/popeyes-1551-saratoga-ave/z1aT_7zwRqG8OxmwlP6MnA
Ike’s Love and Sandwiches - Cupertino,25 - 35 mins,3.99,https://postmates.com/store/ikes-love-and-sandwiches-cupertino/nbBKgQDpR7e5CleN97Pmxg
Chick & Tea,30 - 40 mins,3.99,https://postmates.com/store/chick-%26-tea/x1Wr2cTQT8OLHSuEU46z6g
Yayoi - Cupertino,25 - 35 mins,2.99,https://postmates.com/store/yayoi-cupertino/thv9r1TvQ6CYp3vPZ9JM9g
UlavacharU,35 - 45 mins,3.99,https://postmates.com/store/ulavacharu/sx_DzxtMR52YV0WnbdgtNg
KFC (1065 East El Camino Real),25 - 35 mins,2.99,https://postmates.com/store/kfc-1065-east-el-camino-real/bEbErgMrSLOq4zydI93BGg
Noodle Talk,30 - 40 mins,3.99,https://postmates.com/store/noodle-talk/oqADPWuQRweF7IUkxlFtuQ
Rajwadi Thali,50 - 60 mins,3.99,https://postmates.com/store/rajwadi-thali/RYJJlMr4TjKQ__joX-cFzw
Nick The Greek - Sunnyvale,25 - 35 mins,2.99,https://postmates.com/store/nick-the-greek-sunnyvale/c8jVhbg7QiyA4kS-6TvoGA
Chaat House,30 - 40 mins,3.99,https://postmates.com/store/chaat-house/Vp0c-NrRTa2qfqDoJRbqGA
Pho Hoa (Homestead Square),30 - 40 mins,2.99,https://postmates.com/store/pho-hoa-homestead-square/2u-wKOluTLaVfx5bD5IIlg
Veggie Grill - Santana Row,20 - 30 mins,4.99,https://postmates.com/store/veggie-grill-santana-row/p0X5znD9QMW65vVLcpb2Pg
Charleys Philly Steaks (Oakridge Mall),40 - 50 mins,13.99,https://postmates.com/store/charleys-philly-steaks-oakridge-mall/4lUz6KtWRaGeAsk9NjKN7A
Halal Chinese Snob,30 - 40 mins,2.99,https://postmates.com/store/halal-chinese-snob/pHVqRQvKQZimycnTzdeZtQ
L&L Hawaiian Barbecue (1805 E. Capitol Expressway),60 - 70 mins,13.99,https://postmates.com/store/l%26l-hawaiian-barbecue-1805-e-capitol-expressway/SPvGdBB5TXWKeYOHGFBTAQ
Yayoi - Palo Alto,60 - 70 mins,13.99,https://postmates.com/store/yayoi-palo-alto/woT75NJAQ6yQxFDvin6UpQ
"California Pizza Kitchen (2855 Stevens Creek Bl., Sp. 1273)",25 - 35 mins,3.99,https://postmates.com/store/california-pizza-kitchen-2855-stevens-creek-bl-sp-1273/BGsdArHfQeOG76rQoxqzPQ
Chicken Meets Rice,35 - 45 mins,3.99,https://postmates.com/store/chicken-meets-rice/2CCIzwDDSrGmUXVDQ38a5g
Noodle Plus Mongolian BBQ,25 - 35 mins,3.99,https://postmates.com/store/noodle-plus-mongolian-bbq/ncwU69ArQwaZOGMUUudK_Q
Dish N Dash - Cupertino,35 - 45 mins,3.99,https://postmates.com/store/dish-n-dash-cupertino/V7kndAWyS8qp2JUwitEA9Q
Ramen Hajime,30 - 40 mins,2.99,https://postmates.com/store/ramen-hajime/yMK3DoKuQnKOQ4zeeONrkA
Apple Green Bistro,15 - 25 mins,2.99,https://postmates.com/store/apple-green-bistro/4yW17ahuSAqbQYrWMH3iAQ
小刘清粥 Taiwan Porridge - Cupertino,45 - 55 mins,3.99,https://postmates.com/store/%E5%B0%8F%E5%88%98%E6%B8%85%E7%B2%A5-taiwan-porridge-cupertino/ikAGoFFgRryz6EEJsuXqzw
O2 Valley Cupertino,25 - 35 mins,2.99,https://postmates.com/store/o2-valley-cupertino/Kvi__FRoRcquNH06W2NwUQ
Sweet Sicily Restaurant,40 - 50 mins,4.99,https://postmates.com/store/sweet-sicily-restaurant/YNKPkf2iQZOipBJCBQogwQ
Soong Soong Chinese Restaurant,40 - 50 mins,4.99,https://postmates.com/store/soong-soong-chinese-restaurant/G2Tr8pu7RZOD7tjM8Gn-GQ
Oren's Hummus Shop - Mountain View,40 - 50 mins,5.99,https://postmates.com/store/orens-hummus-shop-mountain-view/spFePE0STrS3Sm_CtKiPHg
Orange Square,35 - 45 mins,3.99,https://postmates.com/store/orange-square/V9vz4CcCXmCTN2dpwc5PJA
Hokkaido Ramen Santouka,30 - 40 mins,3.99,https://postmates.com/store/hokkaido-ramen-santouka/TkIUlDuAQTyzpBJjFqxlDg
Tofu Plus,15 - 25 mins,2.99,https://postmates.com/store/tofu-plus/hgpU4eqPRamS5rAeTDwIbg
Sen Dai Sushi,55 - 65 mins,11.99,https://postmates.com/store/sen-dai-sushi/01ae9hoIQiqZamHE-WfQ0g
Zareen's - Palo Alto,55 - 65 mins,11.99,https://postmates.com/store/zareens-palo-alto/1NiYmXTxTb2-cBi_064rRQ
Pineapple Thai,35 - 45 mins,2.99,https://postmates.com/store/pineapple-thai/XTxV5mljRZ-ahGjpLzXWJg
Fleming’s Prime Steakhouse & Wine Bar (Santa Clara),55 - 65 mins,4.99,https://postmates.com/store/flemings-prime-steakhouse-%26-wine-bar-santa-clara/s1u3ooZ1SOmOkDa9oqdKpQ
Must be Thai (Stevens Creek Blvd),30 - 40 mins,3.99,https://postmates.com/store/must-be-thai-stevens-creek-blvd/GetaqUNAQcmAIM-Rc8LCDA
7-Eleven (815 Bing Dr),25 - 35 mins,3.49,https://postmates.com/store/7-eleven-815-bing-dr/UiZ35wZsQQSLaGSH5hV0Jw
Orenchi Ramen - Santa Clara,30 - 40 mins,2.99,https://postmates.com/store/orenchi-ramen-santa-clara/6zPiErknRzuWZkUG7UL4Lg
Eureka! (Cupertino),30 - 40 mins,2.99,https://postmates.com/store/eureka!-cupertino/517LRou0RZONlUKKsjA-eA
Left Bank - San Jose,45 - 55 mins,4.99,https://postmates.com/store/left-bank-san-jose/p4atXrteSEiGZNMd7jikFQ
Chaat Bhavan,35 - 45 mins,1.99,https://postmates.com/store/chaat-bhavan/NpRVPgUGQ42ZKxhogGJF_g
Corazon Mexican Food,25 - 35 mins,3.99,https://postmates.com/store/corazon-mexican-food/gRA22L5NQoWSbaGphNyaDQ
Coffee & More,40 - 50 mins,4.99,https://postmates.com/store/coffee-%26-more/6gcvEq2tRvutoPWYwY2ttw
Freedom Burrito,25 - 35 mins,2.99,https://postmates.com/store/freedom-burrito/aw39BHCVRlasERRO0ZJDew
deedee's,30 - 40 mins,5.99,https://postmates.com/store/deedees/l3ohZ-AHTpCl8rBzzyZTJw
Dumpling Capital,30 - 40 mins,2.99,https://postmates.com/store/dumpling-capital/02qBjkHFSGi9q-l605UBpg
Shake Shack (180 El Camino Real),50 - 60 mins,13.99,https://postmates.com/store/shake-shack-180-el-camino-real/1r8aJ2I7SgWwYSwcgOhQPg
Los Altos Taqueria,30 - 40 mins,7.99,https://postmates.com/store/los-altos-taqueria/dI6OjoART2OqoHX6QjkPPA
Boiling Point (San Jose),40 - 50 mins,9.99,https://postmates.com/store/boiling-point-san-jose/LzZekYs9RHGNJPtfILZaZQ
"The Habit Burger Grill (1078 E Brokaw Rd, Suite 60)",30 - 40 mins,7.99,https://postmates.com/store/the-habit-burger-grill-1078-e-brokaw-rd-suite-60/TPpetzxDSUqABHqzDKFznw
Iguanas Burritozilla - Downtown San Jose,30 - 40 mins,7.99,https://postmates.com/store/iguanas-burritozilla-downtown-san-jose/LkScJnrtSDKq0cEufcVULw
Veggie Grill - Mountain View,30 - 40 mins,7.99,https://postmates.com/store/veggie-grill-mountain-view/wUhZ5cdnRPeEJ-BfrpSYTQ
Noodle Talk-San Jose,40 - 50 mins,7.99,https://postmates.com/store/noodle-talk-san-jose/sUCEiBtQT56RuIldNqVLgQ
Starbird Chicken - San Jose,30 - 40 mins,7.99,https://postmates.com/store/starbird-chicken-san-jose/CXW96uQAQHWSWQBVJBEQoA
Ding's Kitchen,30 - 40 mins,3.99,https://postmates.com/store/dings-kitchen/sJdf-ebrQ-W9WNAe8Sieag
moonbowls (Healthy Korean Bowls- Ruff Dr.),30 - 40 mins,5.99,https://postmates.com/store/moonbowls-healthy-korean-bowls-ruff-dr/QP8ULSdFSeCuyJaVOuur_Q
Chinese & Indian Fusion,45 - 55 mins,6.99,https://postmates.com/store/chinese-%26-indian-fusion/pXsLXWw8QQihaDb1fzib1Q
YOLKO Breakfast Cafe (2306 Almaden Rd # 150),35 - 45 mins,11.99,https://postmates.com/store/yolko-breakfast-cafe-2306-almaden-rd-%23-150/2Xl_Z8wdSRi9_EJPp9jHCQ
Curry Pizza House (Cupertino),30 - 40 mins,2.99,https://postmates.com/store/curry-pizza-house-cupertino/zWh5NRwFSKyxodf-CCnApA
Pimp my Pasta (326 commercial st),40 - 50 mins,6.99,https://postmates.com/store/pimp-my-pasta-326-commercial-st/lG-Qvw7kSp2wbc9bVV98fw
Burger Goddess,35 - 45 mins,5.99,https://postmates.com/store/burger-goddess/YB4EpYXwQyelAzsJNeNygA
Vampire Penguin - Cupertino,40 - 50 mins,3.99,https://postmates.com/store/vampire-penguin-cupertino/SJI966mCRNiDdH6G52Or8w
Nirvanaah! - Sunnyvale,25 - 35 mins,2.99,https://postmates.com/store/nirvanaah!-sunnyvale/qOn8rPNXSqe6y0-kl6o_nw
Pressed - Cupertino,25 - 35 mins,2.99,https://postmates.com/store/pressed-cupertino/tG8TRZCzQ0OB9gyOp_C7cA
Mochill Mochi Donuts,40 - 50 mins,3.99,https://postmates.com/store/mochill-mochi-donuts/pzph7IgEQz-DYgc8tgtsgg
PINTS OF JOY,30 - 40 mins,3.99,https://postmates.com/store/pints-of-joy/uAtWMzL3T1W37YtkNFAOEw
Humphry Slocombe - Cupertino,30 - 40 mins,3.99,https://postmates.com/store/humphry-slocombe-cupertino/9Had2RtGSLSfojU_oFXzhw
Salt & Straw (Valley Fair Mall),40 - 50 mins,4.99,https://postmates.com/store/salt-%26-straw-valley-fair-mall/BTmrl2h5SFe3up107jK4FQ
The Ice Cream Shop,35 - 45 mins,2.99,https://postmates.com/store/the-ice-cream-shop/agA-It8-QLyiQdOU53ZtqA
Sunright Tea Studio - Sunnyvale,30 - 40 mins,3.99,https://postmates.com/store/sunright-tea-studio-sunnyvale/-uVEqxC1TV6Mb0EfIeazbA
ATM TEA BAR,35 - 45 mins,4.99,https://postmates.com/store/atm-tea-bar/x6vv8bSGR3O2NzNb-mLyRw
Puranpoli,55 - 65 mins,5.99,https://postmates.com/store/puranpoli/aZ75m2ZsTlaan0hR90FbQw
Boudin (Sunnyvale),35 - 45 mins,3.99,https://postmates.com/store/boudin-sunnyvale/9N3RDLgbT2SQBqV533DCTA
Burger King (3750 El Camino Real),25 - 35 mins,3.99,https://postmates.com/store/burger-king-3750-el-camino-real/pY-8GO5FRvqUP9IQs0Va-Q
sizzling pot king,40 - 50 mins,4.99,https://postmates.com/store/sizzling-pot-king/GQhFkqLuRqWproxPLb5CAA
Kabila (Santa Clara),50 - 60 mins,3.99,https://postmates.com/store/kabila-santa-clara/mT14asX_Qba5ueld4ibbBQ
Starbucks (El Camino Real & Poplar),25 - 35 mins,2.99,https://postmates.com/store/starbucks-el-camino-real-%26-poplar/8JXGeHX0QDW4axYd9pMfQw
McDonald's® (Homestead Rd),25 - 35 mins,3.99,https://postmates.com/store/mcdonalds-homestead-rd/RbXeUomXQTqojZ9n8iEjbg
Mendocino Farms - Palo Alto,40 - 50 mins,13.99,https://postmates.com/store/mendocino-farms-palo-alto/M5Uz2DJmQdeDyU_Wmd-hTA
Popeyes Louisiana Kitchen (Homestead Road),30 - 40 mins,3.99,https://postmates.com/store/popeyes-louisiana-kitchen-homestead-road/V7JIzea6QnCCnjloT1nouw
The Sandwich Spot - San Jose,25 - 35 mins,2.99,https://postmates.com/store/the-sandwich-spot-san-jose/aJuPHmTmRuqotGVfVgSo_Q
Go Fish Poke Bar,35 - 45 mins,3.99,https://postmates.com/store/go-fish-poke-bar/mI17jjdCQla5ipZcLm2SgA
Starbird Salads - Sunnyvale,30 - 40 mins,4.99,https://postmates.com/store/starbird-salads-sunnyvale/MXVqcEdcRdOEPCx60hV-bg
Paradise Biryani (Santa Clara),40 - 50 mins,2.99,https://postmates.com/store/paradise-biryani-santa-clara/MaTHOdDqSimDZmeRBR75zQ
Komala Vilas,25 - 35 mins,2.99,https://postmates.com/store/komala-vilas/X2yPJIFVS0C2w-1_02HDrw
Jersey Mike's Subs (1167 El Camino Real),40 - 50 mins,4.99,https://postmates.com/store/jersey-mikes-subs-1167-el-camino-real/v9yZMD5xRwq7XcKiE02pzw
Tan-Cha (Cupertino),20 - 30 mins,2.99,https://postmates.com/store/tan-cha-cupertino/HXQ2Rq_RQ3-El2iF6DRgJw
Oren's Hummus Express - Palo Alto,50 - 60 mins,13.99,https://postmates.com/store/orens-hummus-express-palo-alto/WUYfD0FiSb--Ow5-wsoB1w
Back A Yard Caribbean American Grill (Menlo Park),55 - 65 mins,13.99,https://postmates.com/store/back-a-yard-caribbean-american-grill-menlo-park/yzoSFkUeR2Wf27y7TKiJQA
Sancho's Taqueria - Lytton Ave,50 - 60 mins,13.99,https://postmates.com/store/sanchos-taqueria-lytton-ave/W8uFXpJMQNWksTxMoUYqqw
Naan & Curry,30 - 40 mins,3.99,https://postmates.com/store/naan-%26-curry/KHHiHNfnScCKfLjXoQxI7g
Taco Bell (1701 E Bayshore Rd.),35 - 45 mins,13.99,https://postmates.com/store/taco-bell-1701-e-bayshore-rd/-kM6VQsfSviPFnvAgiR9dw
Pokeworks (211 Castro st),40 - 50 mins,6.99,https://postmates.com/store/pokeworks-211-castro-st/jwqtSEP5RhmlTJG4hadMyA
Magic Wok,30 - 40 mins,3.99,https://postmates.com/store/magic-wok/oS1qCjjfTcyfsfVC7I2wXA
House of Pho - Sunnyvale.,25 - 35 mins,2.99,https://postmates.com/store/house-of-pho-sunnyvale/8RRBSe3WQO-QvLPHJlWSfA
Hunan Impression,35 - 45 mins,3.99,https://postmates.com/store/hunan-impression/L42I6S3nTeyX3e930x-Vtw
Five Guys CA-1189 116 E. El Camino Real,30 - 40 mins,4.99,https://postmates.com/store/five-guys-ca-1189-116-e-el-camino-real/2x73v4DJS5ewL8kWE3B82A
La Victoria Taqueria - Almaden Expwy,35 - 45 mins,12.99,https://postmates.com/store/la-victoria-taqueria-almaden-expwy/eUNwHdVpS62WlGQPCkb9Ow
House of Bagels (Stevens Creek),20 - 30 mins,3.99,https://postmates.com/store/house-of-bagels-stevens-creek/l-5wMQdVS_qrO-0V1K5ekw
Dunkin' (852 E El Camino Real),20 - 30 mins,3.99,https://postmates.com/store/dunkin-852-e-el-camino-real/jv_zmf-QQ7S2seu1d0IDww
Madras Cafe,35 - 45 mins,4.99,https://postmates.com/store/madras-cafe/Dny7d-o7Tj-3iNuC9Iw7Ww
Jack in the Box (458) 4602 Almaden Expy,30 - 40 mins,12.99,https://postmates.com/store/jack-in-the-box-458-4602-almaden-expy/NgvJRVLIReyVi6dDbKyREQ
Liang's Village Cupertino,20 - 30 mins,2.99,https://postmates.com/store/liangs-village-cupertino/k30CGkUOTc-3WCIEvKqefQ
Cheese Steak Shop - Sunnyvale,35 - 45 mins,4.99,https://postmates.com/store/cheese-steak-shop-sunnyvale/jf-vvqZlTK68L3e3x57Rnw
Mendocino Farms - Santana Row,25 - 35 mins,4.99,https://postmates.com/store/mendocino-farms-santana-row/Uc1EKAwiROGKOfTvOAAOVQ
Philz Coffee (DeAnza - Cupertino),30 - 40 mins,3.99,https://postmates.com/store/philz-coffee-deanza-cupertino/cYC7kjGdQvSimNDhyxD4-Q
Yoshinoya (Cupertino),20 - 30 mins,3.99,https://postmates.com/store/yoshinoya-cupertino/3wWeT3BcShaib7Zwqcnmcw
Shake Shack (2855 Stevens Creek Boulevard),30 - 40 mins,5.99,https://postmates.com/store/shake-shack-2855-stevens-creek-boulevard/CZAkuYkYQPKShCcuuSXr7g
McDonald's® (Stelling Rd),15 - 25 mins,4.99,https://postmates.com/store/mcdonalds-stelling-rd/WJqx-hPSSRmEjzQXz8sf1g
Panda Express (5180 Stevens Creek Rd),20 - 30 mins,3.99,https://postmates.com/store/panda-express-5180-stevens-creek-rd/8w0khEaeSkqUXRaYCl2ihg
Yoshinoya (Cupertino),20 - 30 mins,3.99,https://postmates.com/store/yoshinoya-cupertino/3wWeT3BcShaib7Zwqcnmcw
Bonchon Chicken (572 E El Camino Real),35 - 45 mins,2.99,https://postmates.com/store/bonchon-chicken-572-e-el-camino-real/-e7v3uJ_Tf-b9oBlzqnMvQ
Mendocino Farms - Santana Row,25 - 35 mins,4.99,https://postmates.com/store/mendocino-farms-santana-row/Uc1EKAwiROGKOfTvOAAOVQ
sweetgreen (Sunnyvale),35 - 45 mins,4.99,https://postmates.com/store/sweetgreen-sunnyvale/VYSBCFosQ7a8XzXNGQfV_g
Saravana Bhavan,40 - 50 mins,3.99,https://postmates.com/store/saravana-bhavan/Zn5s2fhGS-yK92rUL6QmAQ
Shake Shack (2855 Stevens Creek Boulevard),30 - 40 mins,5.99,https://postmates.com/store/shake-shack-2855-stevens-creek-boulevard/CZAkuYkYQPKShCcuuSXr7g
Yayoi - Cupertino,25 - 35 mins,2.99,https://postmates.com/store/yayoi-cupertino/thv9r1TvQ6CYp3vPZ9JM9g
sweetgreen (Sunnyvale),35 - 45 mins,4.99,https://postmates.com/store/sweetgreen-sunnyvale/VYSBCFosQ7a8XzXNGQfV_g
Din Tai Fung (Santa Clara),55 - 65 mins,2.99,https://postmates.com/store/din-tai-fung-santa-clara/Vh5Tms5vQMGXd5xsc4SHxw
Total Wine & More (5170 Stevens Creek Blvd.),70 - 80 mins,3.49,https://postmates.com/store/total-wine-%26-more-5170-stevens-creek-blvd/GFqD9VllWzmb1oMRFu58Gg
Din Tai Fung (Santa Clara),55 - 65 mins,2.99,https://postmates.com/store/din-tai-fung-santa-clara/Vh5Tms5vQMGXd5xsc4SHxw
Orange Square,35 - 45 mins,3.99,https://postmates.com/store/orange-square/V9vz4CcCXmCTN2dpwc5PJA
Eureka! (Cupertino),30 - 40 mins,2.99,https://postmates.com/store/eureka!-cupertino/517LRou0RZONlUKKsjA-eA
White Elephant Thai Cuisine,35 - 45 mins,4.99,https://postmates.com/store/white-elephant-thai-cuisine/e4RSnBftTBCCRBLtSTGlkg
Rajwadi Thali,50 - 60 mins,3.99,https://postmates.com/store/rajwadi-thali/RYJJlMr4TjKQ__joX-cFzw
Panda Express (5180 Stevens Creek Rd),20 - 30 mins,3.99,https://postmates.com/store/panda-express-5180-stevens-creek-rd/8w0khEaeSkqUXRaYCl2ihg
KFC (1065 East El Camino Real),25 - 35 mins,2.99,https://postmates.com/store/kfc-1065-east-el-camino-real/bEbErgMrSLOq4zydI93BGg
The Habit Burger Grill (20735 Stevens Creek Blvd),20 - 30 mins,3.99,https://postmates.com/store/the-habit-burger-grill-20735-stevens-creek-blvd/UWcgfS6xTMmHeu8AthRC2A
Tofu Plus,15 - 25 mins,2.99,https://postmates.com/store/tofu-plus/hgpU4eqPRamS5rAeTDwIbg
Din Tai Fung (Santa Clara),55 - 65 mins,2.99,https://postmates.com/store/din-tai-fung-santa-clara/Vh5Tms5vQMGXd5xsc4SHxw
Sunright Tea Studio - Sunnyvale,30 - 40 mins,3.99,https://postmates.com/store/sunright-tea-studio-sunnyvale/-uVEqxC1TV6Mb0EfIeazbA
sweetgreen (Sunnyvale),35 - 45 mins,4.99,https://postmates.com/store/sweetgreen-sunnyvale/VYSBCFosQ7a8XzXNGQfV_g
Dish N Dash - Cupertino,35 - 45 mins,3.99,https://postmates.com/store/dish-n-dash-cupertino/V7kndAWyS8qp2JUwitEA9Q
Bonchon Chicken (572 E El Camino Real),35 - 45 mins,2.99,https://postmates.com/store/bonchon-chicken-572-e-el-camino-real/-e7v3uJ_Tf-b9oBlzqnMvQ
Chaat Bhavan,35 - 45 mins,1.99,https://postmates.com/store/chaat-bhavan/NpRVPgUGQ42ZKxhogGJF_g
Boudin (Sunnyvale),35 - 45 mins,3.99,https://postmates.com/store/boudin-sunnyvale/9N3RDLgbT2SQBqV533DCTA
Burger King (3750 El Camino Real),25 - 35 mins,3.99,https://postmates.com/store/burger-king-3750-el-camino-real/pY-8GO5FRvqUP9IQs0Va-Q
小刘清粥 Taiwan Porridge - Cupertino,45 - 55 mins,3.99,https://postmates.com/store/%E5%B0%8F%E5%88%98%E6%B8%85%E7%B2%A5-taiwan-porridge-cupertino/ikAGoFFgRryz6EEJsuXqzw
O2 Valley Cupertino,25 - 35 mins,2.99,https://postmates.com/store/o2-valley-cupertino/Kvi__FRoRcquNH06W2NwUQ
IHOP (1012 Miller Ave),35 - 45 mins,3.99,https://postmates.com/store/ihop-1012-miller-ave/GH0FHlE7SX6I6DhBI_r6HA
Zareen's - Palo Alto,55 - 65 mins,11.99,https://postmates.com/store/zareens-palo-alto/1NiYmXTxTb2-cBi_064rRQ
Chick & Tea,30 - 40 mins,3.99,https://postmates.com/store/chick-%26-tea/x1Wr2cTQT8OLHSuEU46z6g
Veggie Grill - Mountain View,30 - 40 mins,7.99,https://postmates.com/store/veggie-grill-mountain-view/wUhZ5cdnRPeEJ-BfrpSYTQ
Shake Shack (2855 Stevens Creek Boulevard),30 - 40 mins,5.99,https://postmates.com/store/shake-shack-2855-stevens-creek-boulevard/CZAkuYkYQPKShCcuuSXr7g